tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
f__Nitrosomonadaceae,o__Betaproteobacteriales,rank_4,f__Nitrosomonadaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,,
g__Nitrosomonas,f__Nitrosomonadaceae,rank_5,g__Nitrosomonas,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Nitrosomonas,
s__Nitrosomonas_oligotropha,g__Nitrosomonas,rank_6,s__Nitrosomonas_oligotropha,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_oligotropha
o__Francisellales,c__Gammaproteobacteria,rank_3,o__Francisellales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,,,
f__Francisellaceae,o__Francisellales,rank_4,f__Francisellaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,,
g__CA97-1460,f__Francisellaceae,rank_5,g__CA97-1460,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__CA97-1460,
g__Sulfitobacter_D,f__Rhodobacteraceae,rank_5,g__Sulfitobacter_D,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter_D,
s__Sulfitobacter_D_brevis,g__Sulfitobacter_D,rank_6,s__Sulfitobacter_D_brevis,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter_D,s__Sulfitobacter_D_brevis
p__Firmicutes,d__Bacteria,rank_1,p__Firmicutes,Root,d__Bacteria,p__Firmicutes,,,,,
c__Bacilli,p__Firmicutes,rank_2,c__Bacilli,Root,d__Bacteria,p__Firmicutes,c__Bacilli,,,,
o__Bacillales,c__Bacilli,rank_3,o__Bacillales,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,,,
f__Bacillaceae_F,o__Bacillales,rank_4,f__Bacillaceae_F,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_F,,
g__Bacillus_AO,f__Bacillaceae_F,rank_5,g__Bacillus_AO,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_F,g__Bacillus_AO,
g__Actibacterium,f__Rhodobacteraceae,rank_5,g__Actibacterium,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Actibacterium,
s__Actibacterium_mucosum,g__Actibacterium,rank_6,s__Actibacterium_mucosum,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Actibacterium,s__Actibacterium_mucosum
p__Armatimonadetes,d__Bacteria,rank_1,p__Armatimonadetes,Root,d__Bacteria,p__Armatimonadetes,,,,,
c__Fimbriimonadia,p__Armatimonadetes,rank_2,c__Fimbriimonadia,Root,d__Bacteria,p__Armatimonadetes,c__Fimbriimonadia,,,,
o__OS-L,c__Fimbriimonadia,rank_3,o__OS-L,Root,d__Bacteria,p__Armatimonadetes,c__Fimbriimonadia,o__OS-L,,,
f__GBS-DC,o__OS-L,rank_4,f__GBS-DC,Root,d__Bacteria,p__Armatimonadetes,c__Fimbriimonadia,o__OS-L,f__GBS-DC,,
g__GBS-DC,f__GBS-DC,rank_5,g__GBS-DC,Root,d__Bacteria,p__Armatimonadetes,c__Fimbriimonadia,o__OS-L,f__GBS-DC,g__GBS-DC,
s__GBS-DC_sp1,g__GBS-DC,rank_6,s__GBS-DC_sp1,Root,d__Bacteria,p__Armatimonadetes,c__Fimbriimonadia,o__OS-L,f__GBS-DC,g__GBS-DC,s__GBS-DC_sp1
p__Actinobacteria,d__Bacteria,rank_1,p__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,,,,,
c__Actinobacteria,p__Actinobacteria,rank_2,c__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
o__Actinomycetales,c__Actinobacteria,rank_3,o__Actinomycetales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,
f__Kineosporiaceae,o__Actinomycetales,rank_4,f__Kineosporiaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Kineosporiaceae,,
g__Kineosporia,f__Kineosporiaceae,rank_5,g__Kineosporia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Kineosporiaceae,g__Kineosporia,
s__Kineosporia_aurantiaca,g__Kineosporia,rank_6,s__Kineosporia_aurantiaca,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Kineosporiaceae,g__Kineosporia,s__Kineosporia_aurantiaca
p__Bdellovibrionota,d__Bacteria,rank_1,p__Bdellovibrionota,Root,d__Bacteria,p__Bdellovibrionota,,,,,
c__Bdellovibrionia,p__Bdellovibrionota,rank_2,c__Bdellovibrionia,Root,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,,,,
o__Bdellovibrionales,c__Bdellovibrionia,rank_3,o__Bdellovibrionales,Root,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,,,
f__Bdellovibrionaceae,o__Bdellovibrionales,rank_4,f__Bdellovibrionaceae,Root,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,,
g__Bdellovibrio_A,f__Bdellovibrionaceae,rank_5,g__Bdellovibrio_A,Root,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio_A,
s__Bdellovibrio_A_exovorus,g__Bdellovibrio_A,rank_6,s__Bdellovibrio_A_exovorus,Root,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio_A,s__Bdellovibrio_A_exovorus
c__Coriobacteriia,p__Actinobacteria,rank_2,c__Coriobacteriia,Root,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,,,,
o__Coriobacteriales,c__Coriobacteriia,rank_3,o__Coriobacteriales,Root,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,,,
f__Coriobacteriaceae,o__Coriobacteriales,rank_4,f__Coriobacteriaceae,Root,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,,
g__Collinsella,f__Coriobacteriaceae,rank_5,g__Collinsella,Root,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,
s__Collinsella_aerofaciens,g__Collinsella,rank_6,s__Collinsella_aerofaciens,Root,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella_aerofaciens
o__Xanthomonadales,c__Gammaproteobacteria,rank_3,o__Xanthomonadales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,,,
f__Xanthomonadaceae,o__Xanthomonadales,rank_4,f__Xanthomonadaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,,
g__Xanthomonas,f__Xanthomonadaceae,rank_5,g__Xanthomonas,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Xanthomonas,
s__Xanthomonas_axonopodis,g__Xanthomonas,rank_6,s__Xanthomonas_axonopodis,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Xanthomonas,s__Xanthomonas_axonopodis
p__Firmicutes_A,d__Bacteria,rank_1,p__Firmicutes_A,Root,d__Bacteria,p__Firmicutes_A,,,,,
c__Clostridia,p__Firmicutes_A,rank_2,c__Clostridia,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,,,,
o__Peptostreptococcales,c__Clostridia,rank_3,o__Peptostreptococcales,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,,,
f__Peptostreptococcaceae,o__Peptostreptococcales,rank_4,f__Peptostreptococcaceae,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,,
g__Romboutsia,f__Peptostreptococcaceae,rank_5,g__Romboutsia,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Romboutsia,
s__Romboutsia_dakarense,g__Romboutsia,rank_6,s__Romboutsia_dakarense,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Romboutsia,s__Romboutsia_dakarense
p__Spirochaetes,d__Bacteria,rank_1,p__Spirochaetes,Root,d__Bacteria,p__Spirochaetes,,,,,
c__Spirochaetia,p__Spirochaetes,rank_2,c__Spirochaetia,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,,,,
o__Borreliales,c__Spirochaetia,rank_3,o__Borreliales,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Borreliales,,,
f__Borreliaceae,o__Borreliales,rank_4,f__Borreliaceae,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Borreliales,f__Borreliaceae,,
g__Borrelia,f__Borreliaceae,rank_5,g__Borrelia,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Borreliales,f__Borreliaceae,g__Borrelia,
s__Borrelia_persica,g__Borrelia,rank_6,s__Borrelia_persica,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Borreliales,f__Borreliaceae,g__Borrelia,s__Borrelia_persica
d__Archaea,Root,rank_0,d__Archaea,Root,d__Archaea,,,,,,
p__Euryarchaeota,d__Archaea,rank_1,p__Euryarchaeota,Root,d__Archaea,p__Euryarchaeota,,,,,
c__Methanobacteria,p__Euryarchaeota,rank_2,c__Methanobacteria,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,,,,
o__Methanobacteriales,c__Methanobacteria,rank_3,o__Methanobacteriales,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,,,
f__Methanobacteriaceae,o__Methanobacteriales,rank_4,f__Methanobacteriaceae,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,,
g__Methanobacterium_C,f__Methanobacteriaceae,rank_5,g__Methanobacterium_C,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_C,
s__Methanobacterium_C_congolense,g__Methanobacterium_C,rank_6,s__Methanobacterium_C_congolense,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_C,s__Methanobacterium_C_congolense
o__Propionibacteriales,c__Actinobacteria,rank_3,o__Propionibacteriales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,,,
f__Actinopolymorphaceae,o__Propionibacteriales,rank_4,f__Actinopolymorphaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Actinopolymorphaceae,,
g__Actinopolymorpha,f__Actinopolymorphaceae,rank_5,g__Actinopolymorpha,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Actinopolymorphaceae,g__Actinopolymorpha,
s__Actinopolymorpha_singaporensis,g__Actinopolymorpha,rank_6,s__Actinopolymorpha_singaporensis,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Actinopolymorphaceae,g__Actinopolymorpha,s__Actinopolymorpha_singaporensis
o__Corynebacteriales,c__Actinobacteria,rank_3,o__Corynebacteriales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,,,
f__Corynebacteriaceae,o__Corynebacteriales,rank_4,f__Corynebacteriaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,,
g__Rhodococcus,f__Corynebacteriaceae,rank_5,g__Rhodococcus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Rhodococcus,
s__Rhodococcus_fascians,g__Rhodococcus,rank_6,s__Rhodococcus_fascians,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Rhodococcus,s__Rhodococcus_fascians
p__OLB16,d__Bacteria,rank_1,p__OLB16,Root,d__Bacteria,p__OLB16,,,,,
c__OLB16,p__OLB16,rank_2,c__OLB16,Root,d__Bacteria,p__OLB16,c__OLB16,,,,
o__OLB16,c__OLB16,rank_3,o__OLB16,Root,d__Bacteria,p__OLB16,c__OLB16,o__OLB16,,,
f__OLB16,o__OLB16,rank_4,f__OLB16,Root,d__Bacteria,p__OLB16,c__OLB16,o__OLB16,f__OLB16,,
g__OLB16,f__OLB16,rank_5,g__OLB16,Root,d__Bacteria,p__OLB16,c__OLB16,o__OLB16,f__OLB16,g__OLB16,
o__Bacteroidales,c__Bacteroidia,rank_3,o__Bacteroidales,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
f__Porphyromonadaceae,o__Bacteroidales,rank_4,f__Porphyromonadaceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,,
g__Porphyromonas,f__Porphyromonadaceae,rank_5,g__Porphyromonas,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,
s__Porphyromonas_macacae,g__Porphyromonas,rank_6,s__Porphyromonas_macacae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas_macacae
p__Planctomycetes,d__Bacteria,rank_1,p__Planctomycetes,Root,d__Bacteria,p__Planctomycetes,,,,,
c__Planctomycetia,p__Planctomycetes,rank_2,c__Planctomycetia,Root,d__Bacteria,p__Planctomycetes,c__Planctomycetia,,,,
o__Pirellulales,c__Planctomycetia,rank_3,o__Pirellulales,Root,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,,,
f__Ga0077529,o__Pirellulales,rank_4,f__Ga0077529,Root,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,f__Ga0077529,,
g__UBA7805,f__Ga0077529,rank_5,g__UBA7805,Root,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,f__Ga0077529,g__UBA7805,
p__Desulfobacterota,d__Bacteria,rank_1,p__Desulfobacterota,Root,d__Bacteria,p__Desulfobacterota,,,,,
c__Desulfovibrionia,p__Desulfobacterota,rank_2,c__Desulfovibrionia,Root,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,,,,
o__Desulfovibrionales,c__Desulfovibrionia,rank_3,o__Desulfovibrionales,Root,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,,,
f__Desulfovibrionaceae,o__Desulfovibrionales,rank_4,f__Desulfovibrionaceae,Root,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,,
g__Desulfovibrio_N,f__Desulfovibrionaceae,rank_5,g__Desulfovibrio_N,Root,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio_N,
s__Desulfovibrio_N_putealis,g__Desulfovibrio_N,rank_6,s__Desulfovibrio_N_putealis,Root,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio_N,s__Desulfovibrio_N_putealis
o__Lachnospirales,c__Clostridia,rank_3,o__Lachnospirales,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,,,
f__Lachnospiraceae,o__Lachnospirales,rank_4,f__Lachnospiraceae,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,,
g__Clostridium_AI,f__Lachnospiraceae,rank_5,g__Clostridium_AI,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_AI,
s__Clostridium_AI_populeti,g__Clostridium_AI,rank_6,s__Clostridium_AI_populeti,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_AI,s__Clostridium_AI_populeti
p__Cyanobacteria,d__Bacteria,rank_1,p__Cyanobacteria,Root,d__Bacteria,p__Cyanobacteria,,,,,
c__Oxyphotobacteria,p__Cyanobacteria,rank_2,c__Oxyphotobacteria,Root,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,,,,
o__Nostocales,c__Oxyphotobacteria,rank_3,o__Nostocales,Root,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,,,
f__Oscillatoriaceae,o__Nostocales,rank_4,f__Oscillatoriaceae,Root,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Oscillatoriaceae,,
g__PCC-10802,f__Oscillatoriaceae,rank_5,g__PCC-10802,Root,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Oscillatoriaceae,g__PCC-10802,
o__Rhizobiales,c__Alphaproteobacteria,rank_3,o__Rhizobiales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,
f__Hyphomicrobiaceae,o__Rhizobiales,rank_4,f__Hyphomicrobiaceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,,
g__Hyphomicrobium,f__Hyphomicrobiaceae,rank_5,g__Hyphomicrobium,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,
s__Hyphomicrobium_denitrificans_A,g__Hyphomicrobium,rank_6,s__Hyphomicrobium_denitrificans_A,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,s__Hyphomicrobium_denitrificans_A
f__Cyclobacteriaceae,o__Cytophagales,rank_4,f__Cyclobacteriaceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,,
g__Cyclobacterium,f__Cyclobacteriaceae,rank_5,g__Cyclobacterium,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Cyclobacterium,
s__Cyclobacterium_lianum,g__Cyclobacterium,rank_6,s__Cyclobacterium_lianum,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Cyclobacterium,s__Cyclobacterium_lianum
f__Alkalibacillaceae,o__Bacillales,rank_4,f__Alkalibacillaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Alkalibacillaceae,,
g__Piscibacillus,f__Alkalibacillaceae,rank_5,g__Piscibacillus,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Alkalibacillaceae,g__Piscibacillus,
s__Piscibacillus_halophilus,g__Piscibacillus,rank_6,s__Piscibacillus_halophilus,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Alkalibacillaceae,g__Piscibacillus,s__Piscibacillus_halophilus
o__Pseudomonadales,c__Gammaproteobacteria,rank_3,o__Pseudomonadales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,,,
f__Cellvibrionaceae,o__Pseudomonadales,rank_4,f__Cellvibrionaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Cellvibrionaceae,,
g__Saccharophagus,f__Cellvibrionaceae,rank_5,g__Saccharophagus,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Cellvibrionaceae,g__Saccharophagus,
s__Saccharophagus_degradans,g__Saccharophagus,rank_6,s__Saccharophagus_degradans,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Cellvibrionaceae,g__Saccharophagus,s__Saccharophagus_degradans
c__Chlorobia,p__Bacteroidetes,rank_2,c__Chlorobia,Root,d__Bacteria,p__Bacteroidetes,c__Chlorobia,,,,
o__Chlorobiales,c__Chlorobia,rank_3,o__Chlorobiales,Root,d__Bacteria,p__Bacteroidetes,c__Chlorobia,o__Chlorobiales,,,
f__Chlorobiaceae,o__Chlorobiales,rank_4,f__Chlorobiaceae,Root,d__Bacteria,p__Bacteroidetes,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,,
g__Chlorobium_A,f__Chlorobiaceae,rank_5,g__Chlorobium_A,Root,d__Bacteria,p__Bacteroidetes,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobium_A,
s__Chlorobium_A_phaeobacteroides,g__Chlorobium_A,rank_6,s__Chlorobium_A_phaeobacteroides,Root,d__Bacteria,p__Bacteroidetes,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobium_A,s__Chlorobium_A_phaeobacteroides
p__Halobacterota,d__Archaea,rank_1,p__Halobacterota,Root,d__Archaea,p__Halobacterota,,,,,
c__Methanosarcinia,p__Halobacterota,rank_2,c__Methanosarcinia,Root,d__Archaea,p__Halobacterota,c__Methanosarcinia,,,,
o__Methanotrichales,c__Methanosarcinia,rank_3,o__Methanotrichales,Root,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanotrichales,,,
f__Methanotrichaceae,o__Methanotrichales,rank_4,f__Methanotrichaceae,Root,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,,
g__Methanosaeta,f__Methanotrichaceae,rank_5,g__Methanosaeta,Root,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanosaeta,
s__Methanosaeta_thermophila,g__Methanosaeta,rank_6,s__Methanosaeta_thermophila,Root,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanosaeta,s__Methanosaeta_thermophila
o__Reyranellales,c__Alphaproteobacteria,rank_3,o__Reyranellales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,,,
f__Reyranellaceae,o__Reyranellales,rank_4,f__Reyranellaceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,,
g__Reyranella,f__Reyranellaceae,rank_5,g__Reyranella,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__Reyranella,
f__Halomonadaceae,o__Pseudomonadales,rank_4,f__Halomonadaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,,
g__Halomonas,f__Halomonadaceae,rank_5,g__Halomonas,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas,
s__Halomonas_halocynthiae,g__Halomonas,rank_6,s__Halomonas_halocynthiae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas,s__Halomonas_halocynthiae
f__Amphibacillaceae,o__Bacillales,rank_4,f__Amphibacillaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,,
g__Gracilibacillus,f__Amphibacillaceae,rank_5,g__Gracilibacillus,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,g__Gracilibacillus,
s__Gracilibacillus_massiliensis,g__Gracilibacillus,rank_6,s__Gracilibacillus_massiliensis,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,g__Gracilibacillus,s__Gracilibacillus_massiliensis
